block-author:0 , block-round: 0 , payload: 2----->0
block-author:1 , block-round: 1 , payload: 3----->0
block-author:2 , block-round: 2 , payload: 1----->0
block-author:3 , block-round: 3 , payload: 0----->0
block-author:0 , block-round: 4 , payload: 3----->1
block-author:1 , block-round: 5 , payload: 2----->1
block-author:2 , block-round: 6 , payload: 1----->1
block-author:3 , block-round: 7 , payload: 0----->1
block-author:0 , block-round: 8 , payload: 3----->2
block-author:1 , block-round: 9 , payload: 1----->2
block-author:2 , block-round: 10 , payload: 0----->2
block-author:3 , block-round: 11 , payload: 2----->2
block-author:0 , block-round: 12 , payload: 1----->3
block-author:1 , block-round: 13 , payload: 3----->3
block-author:2 , block-round: 14 , payload: 2----->3
block-author:3 , block-round: 15 , payload: 0----->3
